7bde678e-ac7a-4ba6-bee4-b3afa0215c2b,GROUPEMENT GEOART / SETOM / CGEKA,+212 (0) 537 53 45 61,"","","",tariqcouzi@gmail.com,"",
PASFOR-2025-2,GROUPEMENT CGEDS - ETAFAT -TERRABO,(+225)07 07 928 885 ,,,,sekou.diallo@cgeds.com,,
PASFOR-2025-1,"GROUPEMENT D’EXPERTS FONCIERS
(GEF)",(+225) 07 58 029 281,,,,dyatie2005@yahoo.fr,,
95e76a57-0da5-43f3-b1f2-d757f358653c,CABINET TOPO BENHIBA,0757164979,"",Résidence Paris N°7,B - KENITRA-MAROC,annickctb@gmail.com,"",
943c5690-0c13-45ad-97bb-2b27052acf07,GROUPEMENT ETAFAT-CGEA 2TF,+212 703184849,"",Lotissement Salaj - Ain Diab 20180 Casablanca - Maroc,"",imanem@etafat.ma,"",
af517d30-028f-4bbd-bb26-51d97a6380a3,GROUPEMENT ALLIANCE IVOIRIENNE,"0707275604
",0506003140,06 BP 6070 Abidjan 06,"",asidibe0021@gmail.com,info@citrat.ci,
db576cd9-6112-4b81-b937-f203ce473413,GROUPEMENT CAG,0757921562,"",21 BP 4380 Abidjan 21,"",Soro.nangaz@geometre,"",
0dc52f9d-779e-4c26-90e3-9396b6878ef1,GROUPEMENT AVICENNE CONSULT/ GROUPE DE GEOMATIQUE AZIMUT TERRABO INGENIEUR CONSEIL / CABINET DE GEOMETRE EXPERT /AKMEL YEDAGNE (GE-2ATY),0505299342,"","Menontin, Rue 9.281-Lot N° 2932","",antoine.eby@cgeds.com,"",
68960c28-1b7e-4dbc-a649-db689cb326ce,CABINET DE GEOMETRE EXPERT DIALLO SEKOU (CGEDS),0505299342,"",BP 420 Grand Bassam,"",info@cgeds.com,antoine.eby@cgeds.com,
PRESFOR-2025-1,GROUPEMENT TERRA VITAL - CGE SOTTI,0171462783,07 77 00 37 47,,,ccompta3@gmail.com,,
